name,before
Upload 3tblEID into MS Access file. ,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37"
Google Picture of HVAC Equipment on Roof,"1,2,3,4,5,6,7,8,9,10,11,12,14"
Add tlkHVACcodes,"1,2,3,4,5,6,7,8,9,10,11,12,14"
Create HAVC EIDs in Excel File,"1,2,3,4,5,6,7,8,9,10,11,12,14,42"
Complete Trane Models,"1,2,3,4,5,6,7,8,9,10,11,12,14"
Add HVAC Code EEMs List,"1,2,3,4,5,6,7,8,9,10,11,12,14,42,43"
Upload HVAC EIDs into Access,"1,2,3,4,5,6,7,8,9,10,11,12,14,42,43,44,45"
Enter HVAC Photos,"1,2,3,4,5,6,7,8,9,10,11,12,14,42,43,44,45,46"
Punch List Completed,"1,2,3,4,5,6,7,8,9,10,11,12,14,42,43,44,45,46"
Run Access Report Sucessfully,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,40"
Review for negative NPVs - Create No Project,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,40,49"
rptImagesHVCD,"1,2,3,4,5,6,7,8,9,10,11,12,14,42,43,44,45,46,47"
Energy Audit Savings to Consumption Ratio - (w/ benchmarking only),"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,40,49,14,19, 50"
QC Savings Calcs ,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,40,49,50"
Report Presentation Scheduled,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,40,49,50,53"
Submit projects to SF Environment,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,40,49,50,53"
Assumptions Report,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,40,49,50"
Equipment Cut Sheets,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,28,42"
Consumption Summary,"1,2,3,4,5,6,7,8,9,10,11,12,14,42,43,44,45,46,48"
Building Best Practices,"1,2,3,4,5,6,7,8,9,10,11,12,14,42,43,44,45,46,48"
Operations / Low Cost /No Cost Report,"1,2,3,4,5,6,7,8,9,10,11,12,14,42,43,44,45,46,48"
Tenant Benefits Report,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,40,49,50,53"
Non-Financial Benefits Report,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,40,49,50,53"
Non-Utility Benefits,"1,2,3,4,5,6,7,8,9,10,11,12,13,28,37"
Executive Summary,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,40,49,50,53"
Post Audit Survey,1
Invoice,1
Complete Deliverables Checklist,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,28,29,30,31,32,33,34,35,36,37,40,42,43,44,45,46,48,49,50,53"
Create PDF,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,28,29,30,31,32,33,34,35,36,37,40,42,43,44,45,46,48,49,50,53"
Print,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,28,29,30,31,32,33,34,35,36,37,40,42,43,44,45,46,48,49,50,53"
Binding and Layout,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,28,29,30,31,32,33,34,35,36,37,40,42,43,44,45,46,48,49,50,53"
Final Report Presented,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,28,29,30,31,32,33,34,35,36,37,40,42,43,44,45,46,48,49,50,53,67,68,69,70"
Final Report Completed,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,28,29,30,31,32,33,34,35,36,37,40,42,43,44,45,46,48,49,50,53,67,68,69,70"
Update Energy Audit Results Summary,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,28,29,30,31,32,33,34,35,36,37,40,42,43,44,45,46,48,49,50,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70"
Receive Post Audit Survey,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,28,29,30,31,32,33,34,35,36,37,40,42,43,44,45,46,48,49,50,53,67,68,69,70,71"
Receive Payment,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,28,29,30,31,32,33,34,35,36,37,40,42,43,44,45,46,48,49,50,53,67,68,69,70,72"
